TICKET_IDENTIFIER|SUPPORT_CATEGORY|AGENT_NAME|DATE_OF_CALL|CALL_STATUS|CALL_TYPE|TYPE_OF_CUSTOMER|DURATION|WORK_TIME|TICKET_STATUS|RESOLVED_IN_FIRST_CONTACT|RESOLUTION_CATEGORY|RATING
441|SUPPORT OUTAGES|TGARCIA|07242024111002|COMPLETED|CALL|SENIOR CITIZEN|497|125|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BEST
442|HOME SERVICES|ATHOMAS|09022024111002|COMPLETED|CALL|NEW CUSTOMER|353|241|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
443|SUPPORT OUTAGES|EJONES|01212024111002|TRANSFERRED|CALL|TECH-SAVVY USER|27|198|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|WORST
444|SUPPORT OUTAGES|YWILSON|06162022111002|COMPLETED|CHAT|BUDGET-CONSCIOUS CUSTOMER|465|67|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|WORST
372|SECURITY & PRIVACY|ATHOMAS|05302022111002|COMPLETED|CALL|BUSINESS OWNER|350|310|RESOLVED|1|SELF-HELP OPTION|BAD
445|ACCOUNT MANAGEMENT|XGONZALEZ|10162023111002|COMPLETED|CHAT|TECH-SAVVY USER|464|491|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|NEUTRAL
446|TECHNICAL SUPPORT|ZANDERSON|03092022111002|DROPPED|CALL|DEVICE ENTHUSIAST|143|120|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
447|TECHNICAL SUPPORT|STHOMPSON|03242023111002|COMPLETED|CHAT|HEAVY DATA USER|87|64|WORK IN PROGRESS|1|SELF-HELP OPTION|GOOD
74|MOBILE & WIRELESS SERVICES|ATHOMAS|04022024111002|DROPPED|CHAT|NEW CUSTOMER|341|473|PENDING RESOLUTION|1|SELF-HELP OPTION|GOOD
448|BUSINESS SERVICES|STHOMPSON|03132022111002||CHAT|FAMILY PLAN MANAGER|456|47|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BAD
449|NEW CUSTOMER ONBOARDING|ATHOMAS|09092022111002|COMPLETED|CALL|LONG-TERM CUSTOMER|375|320|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|GOOD
133|LOYALTY & RETENTIONS|VHERNANDEZ|08172022111002|COMPLETED|CHAT|DEVICE ENTHUSIAST|57|26|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
450|SUPPORT OUTAGES|YWILSON|05202022111002|DROPPED|CALL|DEVICE ENTHUSIAST|123|267|WORK IN PROGRESS|0|SELF-HELP OPTION|BEST
451|TECHNICAL SUPPORT|XGONZALEZ|09012023111002|DROPPED|CALL|BUDGET-CONSCIOUS CUSTOMER|154|382|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
364|BUSINESS SERVICES|VHERNANDEZ|09162022111002|DROPPED|CALL|SENIOR CITIZEN|124|280|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
452|SUPPORT OUTAGES|STHOMPSON|07192023111002|DROPPED|CALL|BUDGET-CONSCIOUS CUSTOMER|276|215|RESOLVED|0|SUPPORT TEAM INTERVENTION|GOOD
396|HOME SERVICES|XGONZALEZ|05282022111002|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|290|487|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
453|LOYALTY & RETENTIONS|YWILSON|10292022111002|TRANSFERRED|CALL|FREQUENT TRAVELER|448|161|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|GOOD
454|HOME SERVICES|VHERNANDEZ|09012022111002|TRANSFERRED|CALL|FREQUENT TRAVELER|226|580|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
455|PROMOTIONS & DISCOUNTS|ZANDERSON|07162024111002|TRANSFERRED|CALL|NEW CUSTOMER|129|551|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
187|HOME SERVICES|XGONZALEZ|08012022111002|DROPPED|CALL|FREQUENT TRAVELER|235|425|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
456|SUPPORT OUTAGES|ZANDERSON|11122022111002|DROPPED|CHAT||438|228|WORK IN PROGRESS|0|SELF-HELP OPTION|NEUTRAL
155|PROMOTIONS & DISCOUNTS|STHOMPSON|07032024111002|TRANSFERRED|CHAT|DEVICE ENTHUSIAST|248|256|RESOLVED|1|SELF-HELP OPTION|GOOD
457|HOME SERVICES|ATHOMAS|03132024111002|TRANSFERRED|CHAT|BUSINESS OWNER|523|353|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BAD
246|HOME SERVICES|XGONZALEZ|01292022111002|DROPPED|CALL|BUSINESS OWNER|525|468|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
458|HOME SERVICES|XGONZALEZ|12132022111002|COMPLETED|CALL|NEW CUSTOMER|412|258|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
459|SUPPORT OUTAGES|XGONZALEZ|11072023111002|DROPPED|CHAT|HEAVY DATA USER|216|581|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|GOOD
460|SECURITY & PRIVACY|ZANDERSON|01212023111002|DROPPED|CHAT|SENIOR CITIZEN|328|300|WORK IN PROGRESS|0|SELF-HELP OPTION|NEUTRAL
461|NEW CUSTOMER ONBOARDING|YWILSON|01052023111002|DROPPED|CHAT|TECH-SAVVY USER|257|102|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BAD
462|HOME SERVICES|XGONZALEZ|11262023111002|COMPLETED|CHAT|TECH-SAVVY USER|502|427|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BEST
50|PROMOTIONS & DISCOUNTS|ATHOMAS|10122023111002|DROPPED|CALL|SENIOR CITIZEN|446|269|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|WORST
463|PROMOTIONS & DISCOUNTS|UMARTINEZ|09062022111002|DROPPED|CALL|DEVICE ENTHUSIAST|441|134|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
464|PROMOTIONS & DISCOUNTS|ATHOMAS|09012023111002|COMPLETED|CALL|SENIOR CITIZEN|493|363|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BAD
465|NEW CUSTOMER ONBOARDING|ATHOMAS|05262022111002|DROPPED|CHAT|SENIOR CITIZEN|92|597|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|BEST
188|TECHNICAL SUPPORT|YWILSON|11232022111002|DROPPED|CALL|TECH-SAVVY USER|95|423|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
466|ACCOUNT MANAGEMENT|YWILSON|10302022111002|COMPLETED|CALL|BUSINESS OWNER|553|313|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
467|BUSINESS SERVICES|UMARTINEZ|11052023111002|COMPLETED|CALL|FAMILY PLAN MANAGER|465|227|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
468|TECHNICAL SUPPORT|XGONZALEZ|04252024111002|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|186|465|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
469|LOYALTY & RETENTIONS|STHOMPSON|12162023111002|TRANSFERRED|CHAT|DEVICE ENTHUSIAST|459|48||1|SELF-HELP OPTION|BEST
470|LOYALTY & RETENTIONS|STHOMPSON|08062023111002|COMPLETED|CHAT|TECH-SAVVY USER|540|237|RESOLVED|1|SUPPORT TEAM INTERVENTION|NEUTRAL
471|NEW CUSTOMER ONBOARDING|EJONES|01252024111002|DROPPED|CHAT|TECH-SAVVY USER|550|448|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BAD
472|BUSINESS SERVICES|WLOPEZ|02132023111002|TRANSFERRED|CALL|FAMILY PLAN MANAGER|429|36|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|GOOD
341|LOYALTY & RETENTIONS|STHOMPSON|02232022111002|DROPPED|CHAT|SENIOR CITIZEN|439|310|RESOLVED|1|SUPPORT TEAM INTERVENTION|NEUTRAL
473|NEW CUSTOMER ONBOARDING|STHOMPSON|05182024111002|DROPPED|CHAT|LONG-TERM CUSTOMER|124|499|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
474|NEW CUSTOMER ONBOARDING|YWILSON|08132023111002|COMPLETED|CALL|HEAVY DATA USER|373|470|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BEST
475|PROMOTIONS & DISCOUNTS|XGONZALEZ|09022022111002|TRANSFERRED|CALL|BUSINESS OWNER|333||WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|WORST
106|ACCOUNT MANAGEMENT|UMARTINEZ|01112022111002|COMPLETED|CHAT|BUDGET-CONSCIOUS CUSTOMER|145|336|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|GOOD
476|SECURITY & PRIVACY|ZANDERSON|09252022111002|TRANSFERRED|CHAT|NEW CUSTOMER|454|254|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
454|TECHNICAL SUPPORT|ATHOMAS|07122022111002|DROPPED|CHAT|NEW CUSTOMER|353|348|RESOLVED|1|SELF-HELP OPTION|BAD
477|BUSINESS SERVICES|ZANDERSON|01222024111002|TRANSFERRED|CHAT|SENIOR CITIZEN|33|327|RESOLVED|0|SUPPORT TEAM INTERVENTION|BAD
478|PROMOTIONS & DISCOUNTS|ATHOMAS|07222024111002|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|584|216|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|NEUTRAL
479|HOME SERVICES|TGARCIA|02162024111002|DROPPED|CALL|DEVICE ENTHUSIAST|534|15|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|GOOD
480|BUSINESS SERVICES|XGONZALEZ|12072022111002|DROPPED|CALL|SENIOR CITIZEN|210|265|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BAD
481|SUPPORT OUTAGES|VHERNANDEZ|09082024111002|DROPPED|CALL|SENIOR CITIZEN|478|464|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|WORST
482|NEW CUSTOMER ONBOARDING|TGARCIA|06062022111002|DROPPED|CHAT|NEW CUSTOMER|390|108|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
483|LOYALTY & RETENTIONS|STHOMPSON|06132024111002|DROPPED|CALL|FREQUENT TRAVELER|527|157|RESOLVED|0|SELF-HELP OPTION|NEUTRAL
442|HOME SERVICES|EJONES|07012024111002|DROPPED|CALL|TECH-SAVVY USER|361|476|RESOLVED|1|SUPPORT TEAM INTERVENTION|WORST
484|SECURITY & PRIVACY|XGONZALEZ|03172024111002|TRANSFERRED|CHAT|HEAVY DATA USER|200|167|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|GOOD
485|BUSINESS SERVICES|VHERNANDEZ|06252023111002|DROPPED|CHAT|HEAVY DATA USER|185|223|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
486|LOYALTY & RETENTIONS|STHOMPSON|08272024111002|TRANSFERRED|CHAT|TECH-SAVVY USER|292|323|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|WORST
487|SECURITY & PRIVACY|STHOMPSON||COMPLETED|CALL|SENIOR CITIZEN|542|529|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|WORST
134|LOYALTY & RETENTIONS|WLOPEZ|10182023111002|COMPLETED|CALL|SENIOR CITIZEN|377|254|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|GOOD
488|HOME SERVICES|XGONZALEZ|02152024111002|TRANSFERRED|CHAT|NEW CUSTOMER|128|362|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
489|PROMOTIONS & DISCOUNTS|XGONZALEZ|02032022111002|COMPLETED|CALL|SENIOR CITIZEN|57|314|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
490|BUSINESS SERVICES|ATHOMAS|05042022111002|DROPPED|CALL|FAMILY PLAN MANAGER|26|141|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BAD
491|SECURITY & PRIVACY|ZANDERSON|12242022111002|TRANSFERRED|CALL|LONG-TERM CUSTOMER|524|349|RESOLVED|0|SELF-HELP OPTION|BAD
492|NEW CUSTOMER ONBOARDING|EJONES|07152022111002|TRANSFERRED|CALL|FAMILY PLAN MANAGER|582|286|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
493|ACCOUNT MANAGEMENT|TGARCIA|05032022111002|TRANSFERRED|CALL|DEVICE ENTHUSIAST|284|534|WORK IN PROGRESS|0|SELF-HELP OPTION|BEST
494|PROMOTIONS & DISCOUNTS|STHOMPSON|09012022111002|DROPPED|CHAT|BUSINESS OWNER|251|489|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|GOOD
495|TECHNICAL SUPPORT|EJONES|04022023111002|COMPLETED|CHAT|BUSINESS OWNER|438|553|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
496|PROMOTIONS & DISCOUNTS|EJONES|08252023111002|COMPLETED|CHAT|DEVICE ENTHUSIAST|397|279|RESOLVED|0|SELF-HELP OPTION|BAD
497|SUPPORT OUTAGES|ZANDERSON|07312024111002|COMPLETED|CALL|FREQUENT TRAVELER|328|467|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
498|HOME SERVICES|ATHOMAS|05052024111002|DROPPED|CHAT|FREQUENT TRAVELER|24|207|RESOLVED|1|SUPPORT TEAM INTERVENTION|GOOD
499|LOYALTY & RETENTIONS|EJONES|03012022111002|COMPLETED|CALL|FREQUENT TRAVELER|122|589|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
500|SUPPORT OUTAGES|EJONES|04112022111002|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|176|133|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|GOOD
501|LOYALTY & RETENTIONS|YWILSON|03152024111002|TRANSFERRED|CHAT|FREQUENT TRAVELER|457|288|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BEST
502|SECURITY & PRIVACY|STHOMPSON|01252022111002|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|180|91|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|WORST
503|TECHNICAL SUPPORT|YWILSON|01242023111002|COMPLETED|CHAT|NEW CUSTOMER|12|327|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|GOOD
504|NEW CUSTOMER ONBOARDING|XGONZALEZ|09112022111002|TRANSFERRED|CHAT|FREQUENT TRAVELER|563|168|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BAD
175|MOBILE & WIRELESS SERVICES|XGONZALEZ|05042024111002|TRANSFERRED|CALL|FREQUENT TRAVELER|275|562|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|WORST
505|ACCOUNT MANAGEMENT|TGARCIA|03262023111002|COMPLETED|CHAT|SENIOR CITIZEN|252|589|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
476|HOME SERVICES|TGARCIA|01092022111002|TRANSFERRED|CALL|HEAVY DATA USER|81|255|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
506|ACCOUNT MANAGEMENT|UMARTINEZ|09102022111002|TRANSFERRED|CHAT|FREQUENT TRAVELER|191|387|WORK IN PROGRESS|1|SELF-HELP OPTION|BAD
491|ACCOUNT MANAGEMENT|EJONES|07102022111002|COMPLETED|CALL|LONG-TERM CUSTOMER|412|489|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
507|ACCOUNT MANAGEMENT|UMARTINEZ|10222023111002|DROPPED|CHAT|LONG-TERM CUSTOMER|457|534|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BEST
508|TECHNICAL SUPPORT|ATHOMAS|01132022111002|TRANSFERRED|CHAT|LONG-TERM CUSTOMER|591|484|PENDING RESOLUTION|0|SELF-HELP OPTION|NEUTRAL
424|MOBILE & WIRELESS SERVICES|TGARCIA|05042023111002|COMPLETED|CHAT|FREQUENT TRAVELER|576|163|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BEST
509|TECHNICAL SUPPORT|ZANDERSON|02122022111002|COMPLETED|CHAT|FREQUENT TRAVELER|55|236|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|WORST
510|BUSINESS SERVICES|STHOMPSON|02142022111002|DROPPED|CALL|TECH-SAVVY USER|37|431|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
197|HOME SERVICES|ATHOMAS|11202023111002|COMPLETED|CHAT|SENIOR CITIZEN|212|358|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|NEUTRAL
511|MOBILE & WIRELESS SERVICES|VHERNANDEZ|05232022111002|TRANSFERRED|CALL|LONG-TERM CUSTOMER|175|332|RESOLVED|1|SELF-HELP OPTION|BAD
512|PROMOTIONS & DISCOUNTS|EJONES|11062022111002|COMPLETED|CALL|DEVICE ENTHUSIAST|208|228|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|WORST
470|MOBILE & WIRELESS SERVICES|ATHOMAS|12282023111002|TRANSFERRED|CHAT|DEVICE ENTHUSIAST|386|203|WORK IN PROGRESS|1|SELF-HELP OPTION|BEST
513|PROMOTIONS & DISCOUNTS|YWILSON|02192023111002|COMPLETED|CALL|HEAVY DATA USER|90|599|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BAD
514|SECURITY & PRIVACY|UMARTINEZ|11222023111002|DROPPED|CALL|FAMILY PLAN MANAGER|312|226|WORK IN PROGRESS|1|SELF-HELP OPTION|NEUTRAL
515|LOYALTY & RETENTIONS|ZANDERSON|01182022111002|TRANSFERRED|CHAT|LONG-TERM CUSTOMER|538|298|WORK IN PROGRESS|0|SELF-HELP OPTION|BEST
516|TECHNICAL SUPPORT|ATHOMAS|11012023111002|COMPLETED|CALL|FREQUENT TRAVELER|598|176|RESOLVED|0|SELF-HELP OPTION|BAD
517|LOYALTY & RETENTIONS|XGONZALEZ|08212022111002|TRANSFERRED|CHAT|BUDGET-CONSCIOUS CUSTOMER|384|126|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BAD
518|LOYALTY & RETENTIONS|ZANDERSON|04182022111002|DROPPED|CHAT|SENIOR CITIZEN|499|21|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|WORST
519|BUSINESS SERVICES|XGONZALEZ|11302022111002|TRANSFERRED|CALL|BUDGET-CONSCIOUS CUSTOMER|242|190|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
520|TECHNICAL SUPPORT|ZANDERSON|06272024111002|DROPPED|CALL|DEVICE ENTHUSIAST|217|493|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BAD
521|BUSINESS SERVICES|ZANDERSON|04022022111002|TRANSFERRED|CHAT|NEW CUSTOMER|120|563|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BAD
522|HOME SERVICES|STHOMPSON|02092023111002|TRANSFERRED|CALL|BUSINESS OWNER|591|348|PENDING RESOLUTION|0|SELF-HELP OPTION|GOOD
523|ACCOUNT MANAGEMENT|UMARTINEZ|04052023111002|COMPLETED|CALL|TECH-SAVVY USER|400|292|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
524|BUSINESS SERVICES|UMARTINEZ|02292024111002|DROPPED|CALL|TECH-SAVVY USER|510|89|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BEST
285|HOME SERVICES|ATHOMAS|04262022111002|COMPLETED|CALL|NEW CUSTOMER|44|92|RESOLVED|1|SUPPORT TEAM INTERVENTION|WORST
525|ACCOUNT MANAGEMENT|WLOPEZ|08212024111002|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|557|47|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|NEUTRAL
525|PROMOTIONS & DISCOUNTS|XGONZALEZ|01202022111002|COMPLETED|CHAT|HEAVY DATA USER|564|112|WORK IN PROGRESS|0|SELF-HELP OPTION|GOOD
526|ACCOUNT MANAGEMENT|YWILSON||TRANSFERRED|CALL|LONG-TERM CUSTOMER|444|160|RESOLVED|1|SUPPORT TEAM INTERVENTION|GOOD
527|TECHNICAL SUPPORT|YWILSON|08192022111002|COMPLETED|CALL|SENIOR CITIZEN|141|482|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
528|SUPPORT OUTAGES|EJONES|04282023111002|DROPPED|CHAT|DEVICE ENTHUSIAST|302|118|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|WORST
529|SUPPORT OUTAGES|UMARTINEZ||COMPLETED|CHAT|NEW CUSTOMER|212|30|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|WORST
530|HOME SERVICES|UMARTINEZ|05222022111002|DROPPED|CALL|SENIOR CITIZEN|266|504|RESOLVED|1|SUPPORT TEAM INTERVENTION|BAD
531|NEW CUSTOMER ONBOARDING|YWILSON|11222022111002|TRANSFERRED|CHAT|BUDGET-CONSCIOUS CUSTOMER|319|102|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BEST
532|HOME SERVICES|STHOMPSON|01132024111002|DROPPED|CALL|BUSINESS OWNER|520|174|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|NEUTRAL
444|ACCOUNT MANAGEMENT|STHOMPSON|12222021111002|DROPPED|CALL|NEW CUSTOMER|354|312|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
533|SECURITY & PRIVACY|EJONES|05272023111002|DROPPED|CALL|NEW CUSTOMER|202|441|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|WORST
534|NEW CUSTOMER ONBOARDING|ZANDERSON|09042024111002|COMPLETED|CALL|NEW CUSTOMER|577|187|RESOLVED|1|SUPPORT TEAM INTERVENTION|BEST
535|BUSINESS SERVICES|ZANDERSON|04182022111002|TRANSFERRED|CALL|HEAVY DATA USER|460|457|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
536|ACCOUNT MANAGEMENT|WLOPEZ|08092023111002|DROPPED|CALL|HEAVY DATA USER|188|343|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
537|HOME SERVICES|TGARCIA|10042023111002|COMPLETED|CHAT|TECH-SAVVY USER|478|11|RESOLVED|0|SELF-HELP OPTION|BEST
538|BUSINESS SERVICES|ZANDERSON|11152023111002|TRANSFERRED|CALL|TECH-SAVVY USER|277|31|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BAD
289|PROMOTIONS & DISCOUNTS|XGONZALEZ|06122022111002|TRANSFERRED|CALL|FREQUENT TRAVELER|305|185|RESOLVED|1|SELF-HELP OPTION|BAD
539|LOYALTY & RETENTIONS|YWILSON|12232023111002|TRANSFERRED|CHAT|BUDGET-CONSCIOUS CUSTOMER|500|48|RESOLVED|0|SUPPORT TEAM INTERVENTION|BEST
540|MOBILE & WIRELESS SERVICES|VHERNANDEZ|07022024111002|COMPLETED|CHAT|BUSINESS OWNER|581|441|WORK IN PROGRESS|1|SELF-HELP OPTION|GOOD
541|HOME SERVICES|STHOMPSON|05202024111002|TRANSFERRED|CALL|TECH-SAVVY USER|277|180|WORK IN PROGRESS|1|SELF-HELP OPTION|BEST
542|TECHNICAL SUPPORT|ZANDERSON|08182022111002|COMPLETED|CHAT|HEAVY DATA USER|221|298|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|WORST
543|ACCOUNT MANAGEMENT|ATHOMAS|06262024111002|COMPLETED|CHAT|DEVICE ENTHUSIAST|27|437|PENDING RESOLUTION|1||WORST
84|BUSINESS SERVICES|ATHOMAS|04242023111002|TRANSFERRED|CALL|BUDGET-CONSCIOUS CUSTOMER|52|165|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|NEUTRAL
544|PROMOTIONS & DISCOUNTS|VHERNANDEZ|11112023111002|DROPPED|CALL|FREQUENT TRAVELER|330|325|RESOLVED|1|SUPPORT TEAM INTERVENTION|WORST
545|SUPPORT OUTAGES|VHERNANDEZ||TRANSFERRED|CALL|FAMILY PLAN MANAGER|310|566|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
546|MOBILE & WIRELESS SERVICES|VHERNANDEZ|08212024111002|COMPLETED|CHAT|DEVICE ENTHUSIAST|238|121|WORK IN PROGRESS|0|SELF-HELP OPTION|NEUTRAL
547|PROMOTIONS & DISCOUNTS||08152023111002|COMPLETED|CHAT|TECH-SAVVY USER|476|17|RESOLVED|1|SELF-HELP OPTION|BEST
548|BUSINESS SERVICES|STHOMPSON|08082022111002|COMPLETED|CALL|FREQUENT TRAVELER|574|314|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
331|PROMOTIONS & DISCOUNTS|WLOPEZ|03272023111002|DROPPED|CHAT|BUSINESS OWNER|587|478|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BAD
549|SUPPORT OUTAGES|YWILSON|11022022111002|TRANSFERRED|CALL|NEW CUSTOMER|565|465|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
550|LOYALTY & RETENTIONS|ATHOMAS|02202022111002|DROPPED|CALL|BUSINESS OWNER|259|519|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BEST
551|LOYALTY & RETENTIONS|TGARCIA|09222022111002|COMPLETED|CALL|FAMILY PLAN MANAGER|48|482|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|
202|ACCOUNT MANAGEMENT|UMARTINEZ|07292022111002|DROPPED|CHAT|LONG-TERM CUSTOMER|213|145|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|WORST
552|ACCOUNT MANAGEMENT|XGONZALEZ|01282024111002|DROPPED|CHAT|BUSINESS OWNER|325|298|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BAD
553|TECHNICAL SUPPORT|ATHOMAS|07162024111002|DROPPED|CALL|HEAVY DATA USER|80|199|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BEST
554|LOYALTY & RETENTIONS|YWILSON|03242024111002|COMPLETED|CALL|HEAVY DATA USER|210|335|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
222|TECHNICAL SUPPORT|UMARTINEZ|01092023111002|DROPPED|CALL|FREQUENT TRAVELER|114|348|RESOLVED|1|SELF-HELP OPTION|NEUTRAL
555|BUSINESS SERVICES|VHERNANDEZ|01162024111002|COMPLETED|CHAT|NEW CUSTOMER|157|61|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
540|NEW CUSTOMER ONBOARDING|ATHOMAS|09102022111002|COMPLETED|CHAT|TECH-SAVVY USER|509|291|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
